0,0
病例,107
确诊,94
新增,68
无症状,55
检测,54
感染者,51
核酸,45
小区,36
疫情,35
视频,34
隔离,34
石家庄,30
河北,28
北京,27
微博,24
记者,22
工作,21
防控,21
中国,21
医学观察,20
阳性,20
金矿,20
密切接触,19
栖霞,19
累计,18
井下,18
报告,18
人员,18
新冠,18
输入,18
肺炎,17
境外,16
医院,16
发布会,16
出院,16
隆尧县,16
阴性,16
直播,16
样本,15
事故,15
通报,15
自驾车,14
吉林,14
当日,13
现有,13
街道,13
绥化市,13
发现,12
救援,12
调查,12
情况,12
下午,12
普通型,12
全员,12
外出,12
轨迹,12
乘坐,12
新闻,11
死亡,11
我国,11
习近平,11
诊断,11
最新,10
疑似病例,10
管控,10
演讲,10
转为,10
本土,10
世界,10
治愈,10
相关,10
矿工,10
地区,10
居家,9
上午,9
山东,9
新年,9
回家,9
大兴区,9
冬奥会,9
实验室,9
地坛,9
公安机关,8
河北省,8
媒体,8
活动,8
隆尧,8
中段,8
前往,8
经济,8
行程,8
密接,8
遗址,7
年货,7
早晨,7
国家,7
措施,7
被困,7
通化市,7
首次,7
济南,7
黑龙江,7
机构,7
增长,7
GDP,7
日至,7
望奎县,7
指挥部,7
代表,7
公司,7
介绍,7
现场,7
重症,7
初步,7
医学,6
直辖市,6
现住,6
关注,6
链接,6
邢台,6
长春市,6
新型,6
邢台市,6
华曦,6
转运,6
石家庄市,6
新疆生产建设兵团,6
分型,6
制裁,6
加油,6
部门,6
检查,6
筹办,6
临床,6
检验,6
精准,6
自治区,6
天宫,6
高风险,6
网页,6
上班,6
号线,6
个省,6
绥化,6
启动,6
社区,5
联合国,5
风险,5
实施,5
解除,5
美国,5
回应,5
考察,5
哈尔滨市,5
英国,5
万亿元,5
北京市,5
信息,5
排查,5
克拉夫特,5
步行,5
武汉,5
抗疫,5
残奥会,5
民警,5
外孙,5
病毒,5
运动,5
河北人,5
医疗机构,5
难题,5
管理,5
新华社,5
反馈,5
小时,5
建设,5
变局,5
应急,5
纸条,5
五彩,5
有限公司,5
企业,5
人生,5
第三方,5
第二轮,5
发布,4
直击,4
工人,4
场所,4
天津,4
转发,4
地铁,4
寻找,4
公布,4
白腹,4
省区市,4
筛查,4
常驻,4
基地,4
蔬菜,4
落实,4
备战,4
百年,4
获悉,4
投放,4
冰雪,4
发生爆炸,4
定点,4
给养,4
家属院,4
影像学,4
谎报,4
运行,4
呼兰,4
近日,4
思想,4
总书记,4
实行,4
负压,4
第三轮,4
综合,4
突破,4
训练,4
刑事,4
宋运辉,4
台湾,4
迪丽,4
迹象,4
居住,4
出发,4
美方,4
发言人,4
强制措施,4
因公,4
卫健,4
农村,4
夜读,4
救护车,4
首辆,4
上海,4
收到,4
钻孔,4
业务,4
演员,4
期间,4
有人,4
火星车,4
热巴,4
摄影,4
传统,4
临床表现,4
锦鸡,4
环境,4
云端,4
新乐市,4
闹剧,4
今天下午,4
亿元,4
涉及,4
牺牲,4
流行病,4
生物医药,4
采集,4
接种,4
疫苗,4
流行病学,4
采样,4
治疗,4
全域,4
主讲人,3
之间,3
时至,3
全球,3
时间,3
昂昂溪区,3
春节,3
资助,3
平凡,3
发生,3
黑龙江省,3
岳月伟,3
营养液,3
购物,3
燕雁,3
央视,3
花园,3
烟草,3
华春莹,3
物资,3
华西,3
爱心,3
陕西,3
单位,3
延庆,3
英雄,3
第一场,3
日晚,3
南宫市,3
应对,3
齐齐哈尔市,3
幸福,3
爆炸,3
日起,3
卫健委,3
平安,3
责任人,3
中心,3
此前,3
下放,3
混检,3
某女,3
安达市,3
浙江,3
考古,3
上学,3
高度,3
香港,3
高山,3
西青,3
妻子,3
好转,3
消息,3
消毒,3
高丽营镇,3
表面,3
杰森,3
下雪,3
自律,3
杭州,3
增加值,3
零时,3
中国共产党,3
增加,3
封闭,3
调整,3
藁城,3
鞠鹏,3
家庭,3
转至,3
专家,3
村屯,3
杜尚泽,3
命名,3
滑雪,3
湖南,3
哈尔滨,3
专家组,3
举办,3
送检,3
充满,3
迎来,3
位于,3
推出,3
敲击,3
这是,3
共有,3
体力,3
打不倒,3
运动员,3
志愿者,3
快乐,3
冠状,3
进一步,3
通话,3
生活,3
体育,3
传来,3
救生,3
福礼,3
感动,3
侯琳良,3
长寿,3
王凯,3
依法,3
生命,3
迪安,3
挑战,3
张伯礼,3
捐赠,3
阶段,3
新春,3
凤岗,3
冠状病毒,3
钢丝绳,3
故宫,3
到达,3
生日快乐,3
王晔,3
北林区,3
委托,2
好物,2
胸部,2
携手,2
检测点,2
看望,2
战士,2
开发区,2
生日,2
联合国大会,2
涉事,2
支持,2
联办,2
套管,2
涉嫌,2
嫌犯,2
我方,2
瞬间,2
涉案,2
翩翩起舞,2
涉疫,2
学生,2
支援,2
套装,2
次列车,2
奋斗,2
大集,2
每日,2
盛会,2
接到,2
泰晤士报,2
大爱,2
大殿,2
水果,2
投票,2
色彩,2
抗体,2
法官,2
永年,2
大兴,2
大会,2
指出,2
大考,2
打通,2
自导自演,2
流调,2
搞上去,2
相互,2
涂抹,2
自编,2
提升,2
海外,2
官员,2
海伦市,2
浪漫,2
致敬,2
天津站,2
天津市,2
天内,2
舒适,2
航拍,2
缓缓,2
客房,2
